AÑO,TRIMESTRE,COD_DEPARTAMENTO,DEPARTAMENTO,COD_MUNICIPIO,MUNICIPIO,No. ACCESOS FIJOS A INTERNET,POBLACIÓN DANE,INDICE
2021,3,13,BOLÍVAR,13490,NOROSÍ,295,10549,"2,80"
2022,2,52,NARIÑO,52110,BUESACO,941,24726,"3,81"
2022,4,15,BOYACÁ,15533,PAYA,12,2737,"0,44"
2022,1,47,MAGDALENA,47245,EL BANCO,1776,72286,"2,46"
2021,3,13,BOLÍVAR,13670,SAN PABLO,2178,28939,"7,53"
2021,2,05,ANTIOQUIA,05134,CAMPAMENTO,425,9494,"4,48"
2021,4,68,SANTANDER,68755,SOCORRO,4472,34837,"12,84"
2022,3,23,CÓRDOBA,23464,MOMIL,840,20727,"4,05"
2022,3,05,ANTIOQUIA,05031,AMALFI,1414,27398,"5,16"
2022,1,05,ANTIOQUIA,05756,SONSON,3028,37850,"8,00"
2022,2,13,BOLÍVAR,13442,MARÍA LA BAJA,3068,49995,"6,14"
2021,3,97,VAUPÉS,97666,TARAIRA,7,2426,"0,29"
2021,2,94,GUAINÍA,94884,PUERTO COLOMBIA,6,2043,"0,29"
2023,1,52,NARIÑO,52540,POLICARPA,968,10314,"9,39"
2023,1,50,META,50330,MESETAS,823,12192,"6,75"
2021,4,15,BOYACÁ,15673,SAN MATEO,147,3459,"4,25"
2022,1,05,ANTIOQUIA,05390,LA PINTADA,1040,8459,"12,29"
2021,1,44,LA GUAJIRA,44430,MAICAO,11312,191241,"5,92"
2022,1,73,TOLIMA,73352,ICONONZO,158,12467,"1,27"
2021,1,19,CAUCA,19050,ARGELIA,339,27246,"1,24"
2023,3,70,SUCRE,70221,COVEÑAS,1936,21190,"9,14"
2022,4,25,CUNDINAMARCA,25324,GUATAQUÍ,34,3214,"1,06"
2023,3,15,BOYACÁ,15180,CHISCAS,48,4155,"1,16"
2021,4,52,NARIÑO,52317,GUACHUCAL,309,20089,"1,54"
2023,3,17,CALDAS,17446,MARULANDA,51,2700,"1,89"
2021,3,73,TOLIMA,73563,PRADO,44,8694,"0,51"
2021,2,68,SANTANDER,68549,PINCHOTE,128,5379,"2,38"
2021,4,47,MAGDALENA,47798,TENERIFE,822,14271,"5,76"
2023,2,41,HUILA,41013,AGRADO,85,9408,"0,90"
2023,1,25,CUNDINAMARCA,25320,GUADUAS,2170,35904,"6,04"
2021,4,25,CUNDINAMARCA,25486,NEMOCÓN,1358,14611,"9,29"
2023,1,44,LA GUAJIRA,44430,MAICAO,8444,200136,"4,22"
2021,3,52,NARIÑO,52022,ALDANA,23,7636,"0,30"
2021,1,17,CALDAS,17495,NORCASIA,729,6064,"12,02"
2021,1,50,META,50683,SAN JUAN DE ARAMA,53,9547,"0,56"
2022,2,76,VALLE DEL CAUCA,76233,DAGUA,8026,49513,"16,21"
2022,3,15,BOYACÁ,15362,IZA,245,2045,"11,98"
2022,3,15,BOYACÁ,15778,SUTATENZA,14,4413,"0,32"
